    µm         	nN
-1.561875e+000	-4.534898e+000
-1.564125e+000	-4.588250e+000
-1.566000e+000	-4.564538e+000
-1.567875e+000	-4.558610e+000
-1.569750e+000	-4.558610e+000
-1.571625e+000	-4.552682e+000
-1.573500e+000	-4.564538e+000
-1.575375e+000	-4.564538e+000
-1.577250e+000	-4.546754e+000
-1.579500e+000	-4.588250e+000
-1.581375e+000	-4.534898e+000
-1.583250e+000	-4.611962e+000
-1.585125e+000	-4.570466e+000
-1.587000e+000	-4.564538e+000
-1.588875e+000	-4.523042e+000
-1.591125e+000	-4.576394e+000
-1.593000e+000	-4.588250e+000
-1.594875e+000	-4.523042e+000
-1.596750e+000	-4.552682e+000
-1.598250e+000	-4.558610e+000
-1.600500e+000	-4.582322e+000
-1.602375e+000	-4.564538e+000
-1.604625e+000	-4.570466e+000
-1.606500e+000	-4.517114e+000
-1.608375e+000	-4.546754e+000
-1.610250e+000	-4.576394e+000
-1.611750e+000	-4.528970e+000
-1.613625e+000	-4.611962e+000
-1.615875e+000	-4.558610e+000
-1.617750e+000	-4.534898e+000
-1.619625e+000	-4.546754e+000
-1.621500e+000	-4.511186e+000
-1.623750e+000	-4.511186e+000
-1.625250e+000	-4.517114e+000
-1.627125e+000	-4.570466e+000
-1.629000e+000	-4.505258e+000
-1.631250e+000	-4.523042e+000
-1.633125e+000	-4.517114e+000
-1.635000e+000	-4.540826e+000
-1.636875e+000	-4.564538e+000
-1.638750e+000	-4.570466e+000
-1.641000e+000	-4.570466e+000
-1.642875e+000	-4.564538e+000
-1.644750e+000	-4.546754e+000
-1.647000e+000	-4.540826e+000
-1.648875e+000	-4.511186e+000
-1.650375e+000	-4.564538e+000
-1.652250e+000	-4.511186e+000
-1.654125e+000	-4.517114e+000
-1.656000e+000	-4.511186e+000
-1.657875e+000	-4.528970e+000
-1.660125e+000	-4.540826e+000
-1.662000e+000	-4.588250e+000
-1.663875e+000	-4.517114e+000
-1.665375e+000	-4.517114e+000
-1.667250e+000	-4.499330e+000
-1.669125e+000	-4.523042e+000
-1.671375e+000	-4.523042e+000
-1.673250e+000	-4.511186e+000
-1.675125e+000	-4.523042e+000
-1.677000e+000	-4.511186e+000
-1.678875e+000	-4.546754e+000
-1.680750e+000	-4.534898e+000
-1.683000e+000	-4.534898e+000
-1.685250e+000	-4.487474e+000
-1.687125e+000	-4.505258e+000
-1.689000e+000	-4.517114e+000
-1.690500e+000	-4.523042e+000
-1.692375e+000	-4.540826e+000
-1.694250e+000	-4.540826e+000
-1.696500e+000	-4.546754e+000
-1.698375e+000	-4.552682e+000
-1.700625e+000	-4.517114e+000
-1.702500e+000	-4.434122e+000
-1.704000e+000	-4.540826e+000
-1.705875e+000	-4.499330e+000
-1.707750e+000	-4.534898e+000
-1.709625e+000	-4.517114e+000
