    nm         	nN
4.070896e+002	7.438011e-002
4.069549e+002	8.246491e-002
4.066013e+002	7.438011e-002
4.063572e+002	7.438011e-002
4.060912e+002	7.276316e-002
4.057158e+002	6.306140e-002
4.056248e+002	7.438011e-002
4.052275e+002	6.306140e-002
4.051146e+002	7.276316e-002
4.049142e+002	7.599707e-002
4.048014e+002	8.569882e-002
4.043384e+002	6.952924e-002
4.040286e+002	6.467836e-002
4.039814e+002	7.923099e-002
4.037154e+002	7.761403e-002
4.036463e+002	9.054970e-002
4.032052e+002	7.599707e-002
4.029173e+002	7.276316e-002
4.028263e+002	8.408187e-002
4.026478e+002	8.893274e-002
4.022724e+002	7.923099e-002
4.018532e+002	6.629532e-002
4.018279e+002	8.246491e-002
4.014744e+002	7.438011e-002
4.014490e+002	9.054970e-002
4.010080e+002	7.599707e-002
4.008076e+002	7.923099e-002
4.005197e+002	7.599707e-002
4.001661e+002	6.791228e-002
4.002502e+002	9.216666e-002
3.998966e+002	8.408187e-002
3.996306e+002	8.246491e-002
3.991677e+002	6.629532e-002
3.991204e+002	8.084795e-002
3.987669e+002	7.276316e-002
3.984134e+002	6.467836e-002
3.983224e+002	7.599707e-002
3.981876e+002	8.408187e-002
3.977247e+002	6.791228e-002
3.976994e+002	8.408187e-002
3.973020e+002	7.276316e-002
3.969923e+002	6.791228e-002
3.970982e+002	9.378362e-002
3.968103e+002	9.054970e-002
3.965005e+002	8.569882e-002
3.960376e+002	6.952924e-002
3.957934e+002	6.952924e-002
3.955493e+002	6.952924e-002
3.955240e+002	8.569882e-002
3.954111e+002	9.540058e-002
3.947950e+002	6.791228e-002
3.946602e+002	7.599707e-002
3.944817e+002	8.084795e-002
3.941063e+002	7.114619e-002
3.938841e+002	7.276316e-002
3.938150e+002	8.569882e-002
3.935927e+002	8.731579e-002
3.929547e+002	5.821052e-002
3.929294e+002	7.438011e-002
3.927071e+002	7.599707e-002
3.925505e+002	8.246491e-002
3.921094e+002	6.791228e-002
3.919747e+002	7.599707e-002
3.918399e+002	8.408187e-002
3.916833e+002	9.054970e-002
3.913735e+002	8.569882e-002
3.910419e+002	7.923099e-002
3.906665e+002	6.952924e-002
3.904661e+002	7.276316e-002
3.902657e+002	7.599707e-002
3.901528e+002	8.569882e-002
3.899087e+002	8.569882e-002
3.895770e+002	7.923099e-002
3.894204e+002	8.569882e-002
3.891325e+002	8.246491e-002
3.887352e+002	7.114619e-002
3.885567e+002	7.599707e-002
3.881813e+002	6.629532e-002
3.879809e+002	6.952924e-002
3.879118e+002	8.246491e-002
3.877114e+002	8.569882e-002
3.874454e+002	8.408187e-002
3.870699e+002	7.438011e-002
3.870227e+002	8.893274e-002
3.866911e+002	8.246491e-002
3.863375e+002	7.438011e-002
3.862684e+002	8.731579e-002
3.860243e+002	8.731579e-002
3.854082e+002	5.982748e-002
3.852516e+002	6.629532e-002
3.850074e+002	6.629532e-002
3.848727e+002	7.438011e-002
3.845410e+002	6.791228e-002
3.844063e+002	7.599707e-002
3.841402e+002	7.438011e-002
3.835461e+002	4.850877e-002
3.837176e+002	7.923099e-002
3.833859e+002	7.276316e-002
3.832293e+002	7.923099e-002
3.829195e+002	7.438011e-002
3.826316e+002	7.114619e-002
3.824969e+002	7.923099e-002
3.822746e+002	8.084795e-002
3.818554e+002	6.791228e-002
3.815894e+002	6.629532e-002
3.815641e+002	8.246491e-002
3.809917e+002	5.821052e-002
3.808351e+002	6.467836e-002
3.805253e+002	5.982748e-002
3.805219e+002	7.761403e-002
3.803215e+002	8.084795e-002
3.800117e+002	7.599707e-002
3.795488e+002	5.982748e-002
3.794796e+002	7.276316e-002
