    nm         	pN
4.570322e+001	6.041969e+000
4.550790e+001	1.342660e+000
4.531259e+001	5.370639e+000
4.511728e+001	0.000000e+000
4.492196e+001	1.342660e+000
4.472665e+001	8.727289e+000
4.453133e+001	4.699310e+000
4.433602e+001	3.356650e+000
4.414071e+001	-1.141226e+001
4.394539e+001	-4.699166e+000
4.375008e+001	6.713299e-001
4.355476e+001	-4.699166e+000
4.335945e+001	-3.356547e+000
4.316414e+001	1.342660e+000
4.296882e+001	1.208394e+001
4.277351e+001	0.000000e+000
4.257819e+001	1.074128e+001
4.238288e+001	7.384629e+000
4.218757e+001	4.027979e+000
4.199225e+001	0.000000e+000
4.179694e+001	1.611192e+001
4.160162e+001	1.476926e+001
4.140631e+001	-2.685238e+000
4.121100e+001	-6.713094e-001
4.101568e+001	-8.055713e+000
4.082037e+001	6.713299e-001
4.062505e+001	-2.013928e+000
4.042974e+001	-3.356547e+000
4.023443e+001	-2.013928e+000
4.003911e+001	6.713299e-001
3.984380e+001	2.013990e+000
3.964848e+001	8.727289e+000
3.945317e+001	0.000000e+000
3.925786e+001	1.879724e+001
3.906254e+001	6.041969e+000
3.886723e+001	0.000000e+000
3.867191e+001	-8.727023e+000
3.847660e+001	-3.356547e+000
3.828129e+001	0.000000e+000
3.808597e+001	-6.041785e+000
3.789066e+001	4.027979e+000
3.769534e+001	9.398619e+000
3.750003e+001	-7.384404e+000
3.730472e+001	-6.041785e+000
3.710940e+001	-1.342619e+000
3.691409e+001	-6.713094e-001
3.671877e+001	7.384629e+000
3.652346e+001	6.713299e+000
3.632815e+001	-6.713094e-001
